 ----------------------header-------------------------- 2018-08-08 10:14:48,796 [1] INFO  loginfo - 文件接收工具启动
2018-08-08 10:14:57,790 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:57,840 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:57,900 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:57,960 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,010 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,070 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,120 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,180 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,240 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,300 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,360 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,410 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,470 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,530 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,590 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,640 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,700 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,760 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,810 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,870 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,920 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:58,980 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,040 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,090 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,150 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,200 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,260 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,320 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,380 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,430 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,490 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,540 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,600 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,650 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,710 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,770 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,830 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,890 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:59,940 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,000 [8] INFO  loginfo - 收到数据文件
